latitude,longitude,objectid,id,nome,geoaprox,periodinun,st_area(shape),st_perimeter(shape),
0,0,1,1, ,0, ,0.00020049113503981287,0.21101372532420273,
0,0,2,2, ,0, ,0.0003873070324857693,0.21549898729388467,
0,0,3,3, ,0, ,1.8375074200408784e-7,0.001958596274247085,
0,0,4,4, ,0, ,6.171457450942074e-7,0.004009087705515518,
0,0,5,5, ,0, ,1.4041438805207236e-7,0.0018435864308457004,
0,0,6,6, ,0, ,0.0000037559113660097894,0.02418492577395099,
0,0,7,7, ,0, ,1.9629437001028252e-7,0.002510538678464725,
0,0,8,8, ,0, ,0.00002617245634832444,0.02929677927191061,
0,0,9,9, ,0, ,0.000005144629236570414,0.011591154732477913,
0,0,10,10, ,0, ,0.000006537576610410642,0.015774664330066104,
0,0,11,11, ,0, ,1.5430100836162785e-7,0.002391838078204796,
0,0,12,12, ,0, ,0.0000013012412220523976,0.0051305576429384984,
0,0,13,13, ,0, ,1.9457924438750516e-7,0.003685440676493186,
0,0,14,14, ,0, ,8.448597547857858e-7,0.003637244424698493,
0,0,15,15, ,0, ,0.0000011439485845404661,0.00580739760056973,
0,0,16,16, ,0, ,0.0000010869385125413676,0.01080296833286951,
0,0,17,17, ,0, ,0.000011702520078368095,0.01706064860039611,
0,0,553,553, ,0, ,0.000019577202281727968,0.037101096702909835,
0,0,554,554, ,0, ,0.000010836013032389176,0.04526178434936871,
0,0,5099,5099, ,0, ,0.00002951994357402288,0.04481003402187725,
0,0,18,18, ,0, ,0.00002009638267091143,0.02075144750222949,
0,0,19,19, ,0, ,0.0002093170750275317,0.15960441106052903,
0,0,20,20, ,0, ,9.621387383717168e-7,0.006369475303715726,
0,0,21,21, ,0, ,0.00009527406469620779,0.16748089545579947,
0,0,22,22, ,0, ,0.0000019452350541343093,0.007426708368553933,
0,0,23,23, ,0, ,7.266052187423991e-7,0.0036027259929195957,
0,0,24,24, ,0, ,0.000001137063950460736,0.005537164773373523,
0,0,25,25, ,0, ,9.423258719752395e-7,0.0038050442966658807,
0,0,26,26, ,0, ,0.00010391153076794927,0.16182936813068932,
0,0,27,27, ,0, ,0.0000022843105331048935,0.00914841817344235,
0,0,28,28, ,0, ,1.4267940408868595e-7,0.0018386476122508053,
0,0,29,29, ,0, ,4.7504221289994283e-7,0.0034682119144361953,
0,0,30,30, ,0, ,1.762166839200434e-7,0.0020457206122729867,
0,0,31,31, ,0, ,1.0892811115030319e-7,0.0013640457105400501,
0,0,32,32, ,0, ,4.0383656913172785e-7,0.003918080648247489,
0,0,42,42, ,0, ,6.390914237255113e-8,0.0010613935539718628,
0,0,43,43, ,0, ,0.0000030252209843922886,0.010556285385561566,
0,0,61,61, ,0, ,0.0000015635394296224192,0.009577854585843034,
0,0,424,424, ,0, ,9.779975927316123e-8,0.0013150957640610827,
0,0,33,33, ,0, ,0.00003478314819366731,0.045957699343517844,
0,0,34,34, ,0, ,0.0000031401696634154923,0.013719220830758497,
0,0,35,35, ,0, ,0.0000013832992282550799,0.019224650195970784,
0,0,36,36, ,0, ,5.096349257660868e-7,0.002899737077846062,
0,0,37,37, ,0, ,5.68833820459389e-7,0.0034336296403324573,
0,0,38,38, ,0, ,3.007317986097678e-7,0.0024697130537088188,
0,0,39,39, ,0, ,1.3848825357439039e-7,0.0016331377968619252,
0,0,40,40, ,0, ,0.0000057989169933383945,0.022802432247852358,
0,0,41,41, ,0, ,4.734044758799964e-7,0.006250762423352344,
0,0,44,44, ,0, ,0.000012368620928552869,0.04078792025878487,
0,0,45,45, ,0, ,0.000010541120885177813,0.014532595758251592,
0,0,46,46, ,0, ,0.000013482728738981291,0.016986597715722262,
0,0,47,47, ,0, ,3.3986914730183735e-7,0.006182498385987862,
0,0,48,48, ,0, ,0.0000015243025754744802,0.011503757083059315,
0,0,49,49, ,0, ,0.00028305433461378734,0.39929375535718487,
0,0,50,50, ,0, ,0.0000015079874546918688,0.005204533545677863,
0,0,51,51, ,0, ,0.000007463325548813903,0.020753088029743606,
0,0,52,52, ,0, ,0.000008239817140288641,0.013996612489169558,
0,0,53,53, ,0, ,9.243942786877002e-8,0.0014634001605026551,
0,0,54,54, ,0, ,0.0000053389766353304395,0.020624098089496112,
0,0,55,55, ,0, ,6.789742856905317e-7,0.005554468389057607,
0,0,56,56, ,0, ,0.000010681920642191568,0.030189470545682936,
0,0,57,57, ,0, ,0.00014004771127686236,0.15064600821298002,
0,0,58,58, ,0, ,0.00004836834825704964,0.12415894879579865,
0,0,59,59, ,0, ,0.000003267741584296734,0.011370950991393779,
0,0,60,60, ,0, ,0.0000022708601858263696,0.01807351429409209,
0,0,62,62, ,0, ,0.000008003907536382642,0.03756525711184316,
0,0,63,63, ,0, ,5.152150681793956e-7,0.00391438454546396,
0,0,64,64, ,0, ,0.0000015033555606011503,0.005445893761568904,
0,0,65,65, ,0, ,6.188457590587285e-7,0.0032932358815291798,
0,0,66,66, ,0, ,5.115975749889394e-7,0.0039050932618835406,
0,0,67,67, ,0, ,3.353402104331495e-7,0.004210569440306021,
0,0,68,68, ,0, ,0.000027575205965774675,0.03717580505673956,
0,0,69,69, ,0, ,0.000004451581406621569,0.010060760047593329,
0,0,70,70, ,0, ,4.779861236338741e-7,0.004874393620405616,
0,0,71,71, ,0, ,6.747530693674916e-7,0.004230628567454446,
0,0,72,72, ,0, ,2.895024264204064e-7,0.003239633870479794,
0,0,73,73, ,0, ,2.3567470414857147e-7,0.0037645387839172705,
0,0,74,74, ,0, ,7.439503285673168e-7,0.0037025663280578327,
0,0,75,75, ,0, ,0.0000012509699583371507,0.005060133774847919,
0,0,76,76, ,0, ,6.134893912626337e-8,0.0012621992857845962,
0,0,77,77, ,0, ,4.876995564134306e-8,0.0012103866320553186,
0,0,78,78, ,0, ,6.85687962115455e-8,0.0012777614851645957,
0,0,79,79, ,0, ,7.036112966475664e-8,0.0010994148876175749,
0,0,80,80, ,0, ,0.000012688286141693276,0.02050863909635166,
0,0,81,81, ,0, ,4.272134537981828e-7,0.004141655756557202,
0,0,82,82, ,0, ,0.0000017375609239264185,0.007059489210692576,
0,0,83,83, ,0, ,5.611647719429779e-7,0.004182459597940539,
0,0,84,84, ,0, ,9.598243143147058e-7,0.004854071238267177,
0,0,142,142, ,0, ,0.000004217763201229171,0.010279878040862236,
