latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,1,1,4.993706224793291e-8,0.0010308325574401472,
0,0,2,4,4.167645273522679e-7,0.003047599617178278,
0,0,3,5,3.363163050616803e-7,0.0024913651031456714,
0,0,4,6,5.338305433502025e-8,0.0010572443598043416,
0,0,5,8,8.332116159669333e-7,0.004075982799410885,
0,0,6,9,7.001110791563598e-7,0.0038615385363374713,
0,0,7,14,0.0000011592659381757284,0.004413014691345814,
0,0,8,19,5.338362372270603e-8,0.0010572503600098603,
0,0,9,20,0.0000016800447187017511,0.005572649662741957,
0,0,10,21,0.0000034959093371767653,0.009877391634479425,
0,0,11,27,8.971002913093508e-7,0.0038399496339180496,
0,0,12,31,3.432927689566536e-7,0.0024258416318583597,
0,0,13,36,5.3392343317903124e-8,0.0010573509575481186,
0,0,14,43,2.98642889075893e-7,0.0026274144683659253,
0,0,15,45,7.253809750742301e-7,0.0034136473587762562,
0,0,16,52,5.33939563691849e-8,0.0010573865296993167,
0,0,17,56,5.3393963839529817e-8,0.0010573865104075194,
0,0,18,57,5.339452600072546e-8,0.0010573788409947212,
0,0,19,64,1.7087007500768031e-7,0.001962656791816379,
0,0,20,70,0.0000010256596781952187,0.004772900674046195,
0,0,21,71,5.618802975518053e-7,0.003475338224485097,
0,0,22,72,1.064848158219205e-7,0.0015414447133452014,
0,0,23,73,1.052711811858971e-7,0.001636480286040692,
0,0,24,76,2.095453617329464e-7,0.0020978788353919744,
0,0,25,77,5.338730257356035e-8,0.0010572909831486085,
0,0,26,78,5.3395134294300836e-8,0.0010573815390569094,
0,0,27,81,5.138509124287082e-7,0.0029442871558765004,
0,0,28,83,5.565273861391704e-7,0.0031643845553537154,
0,0,29,85,0.0000015809530864681668,0.005163838156958536,
0,0,30,86,5.338832454009821e-8,0.0010573020361441014,
0,0,31,92,0.0000026974309727033396,0.009808393852293349,
0,0,32,94,7.696847082793885e-7,0.0035951770212140186,
0,0,33,99,1.6098553831302293e-7,0.002039102956932724,
0,0,34,100,0.0000021937702334372697,0.006198046972743863,
0,0,35,103,1.847615109502762e-7,0.0019875742386033955,
0,0,36,104,5.3398499107823075e-8,0.0010574218967147378,
0,0,37,105,2.6325727174301713e-7,0.0024129901343524474,
0,0,38,112,2.7724708308359885e-7,0.00253778101073399,
0,0,39,113,1.0527279431003983e-7,0.0016364879608178476,
0,0,40,117,2.0955612634979084e-7,0.002097939835065437,
