latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,1,1,9.353511588585481e-11,0.000038778003292219294,
0,0,2,2,9.354416079021328e-11,0.00003878000741651557,
0,0,3,3,7.48284406029631e-10,0.00013974405055130974,
0,0,4,4,9.353461139359796e-11,0.000038778038400704424,
0,0,5,5,9.353900230706283e-11,0.000038779012507813974,
0,0,6,6,9.35441807899608e-11,0.000038780011773172394,
0,0,7,7,9.353899460151041e-11,0.00003877901121393194,
0,0,8,8,9.353380889968595e-11,0.000038778010132898115,
0,0,9,9,1.870883545804107e-10,0.00005683001714142037,
0,0,10,10,9.353899430714676e-11,0.000038779011157126935,
0,0,11,11,9.353019723440757e-11,0.000038777059150356825,
0,0,12,12,1.8709597349952566e-10,0.00005683000703260469,
0,0,13,13,9.35570191672376e-11,0.00003878300574861272,
0,0,14,14,0.0018889870509921735,1.6655916097286076,
