latitude,longitude,objectid,id,nome,geoaprox,classporte,antrop,densidade,secundaria,st_area(shape),st_perimeter(shape),
0,0,88,88, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000011329525320703676,0.01451389049026003,
0,0,46,46, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00010504502936268142,0.11158422477609313,
0,0,72,72, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000017938011713944258,0.01692733714459962,
0,0,73,73, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000004734311459860483,0.01465542626519289,
0,0,74,74, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000007686989598918414,0.016647445660293005,
0,0,47,47, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.00016146515727841876,0.08649829660971418,
0,0,48,48, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.0002256205267112806,0.12060030493212992,
0,0,49,49, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00002809312683886971,0.04005043797089508,
0,0,89,89, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000029168173173313074,0.022853659354566173,
0,0,50,50, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00017247960204258138,0.08301310721174013,
0,0,51,51, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000057905775959340255,0.053771112834823845,
0,0,52,52, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00017016469174460527,0.0791930507805884,
0,0,53,53, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.000018890011347680788,0.04262294019116482,
0,0,141,141, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000004602454457737826,0.009071293041185625,
0,0,54,54, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00005020585179678943,0.058698150941823256,
0,0,55,55, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00001319836797986676,0.033024370676518505,
0,0,56,56, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000239136922934153,0.03780598594378356,
0,0,75,75, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000018896437601169222,0.02781710272578598,
0,0,90,90, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000098390617400677,0.01991039836009714,
0,0,57,57, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0001411754124397162,0.06521652260564388,
0,0,58,58, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000009638179788770888,0.021650568392207244,
0,0,59,59, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00001544832616435705,0.05332178058422213,
0,0,106,106, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000008918713599380109,0.013162976613648306,
0,0,62,62, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000025700323286843518,0.06143471741769794,
0,0,63,63, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.00004996695109038459,0.04167234475553014,
0,0,64,64, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000012312434110352476,0.03170828016179585,
0,0,65,65, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.000011248866476036942,0.024738421237188057,
0,0,162,162, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,5.314749667612438e-8,0.0009578197656602413,
0,0,67,67, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.00018073388039355865,0.06515820142543825,
0,0,82,82, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000013045026305335822,0.016673071110864343,
0,0,83,83, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00003283154588444973,0.025204042347133606,
0,0,107,107, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000001974919686385011,0.006573286367440563,
0,0,68,68, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.00009995136844745255,0.08972040744031413,
0,0,84,84, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000010296731304096655,0.02446033704684602,
0,0,85,85, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00000904429915533574,0.014717963438349104,
0,0,163,163, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,1.2463145915287777e-7,0.0014373030862157377,
0,0,69,69, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000047578993681325514,0.06044772751774804,
0,0,70,70, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.00004034924281796332,0.028088661963566627,
0,0,71,71, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000002522455418764514,0.01480209897849855,
0,0,108,108, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000002698169291521024,0.007118625435515027,
0,0,76,76, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000023379487303364664,0.053573531234134296,
0,0,77,77, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000010945552189868635,0.019751397307339914,
0,0,78,78, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000003582758755460425,0.01973288956142793,
0,0,79,79, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000021841074538553383,0.019016695357363965,
0,0,80,80, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,5.353313268594219e-7,0.010067416496600035,
0,0,81,81, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000012253153662987451,0.021946013988258392,
0,0,109,109, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,4.1103113617129197e-7,0.007764948846692965,
0,0,164,164, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,1.2609474266097567e-8,0.0004814030308874582,
0,0,91,91, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000017695205089377212,0.02196859992954984,
0,0,92,92, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000020913365766559363,0.01199785718225654,
