latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,1,1,1.8705986788132243e-10,0.00005682600508065106,
0,0,2,2,2.8059499253649735e-10,0.00007487600882519583,
0,0,3,3,9.352994519719027e-11,0.00003877700601013292,
0,0,4,4,9.35299184405343e-11,0.00003877700014516208,
0,0,5,5,1.8708316463530103e-10,0.00005682901652523853,
0,0,6,6,9.354798424950307e-11,0.000038781003919891017,
0,0,7,7,9.354869699889713e-11,0.00003878101276107698,
0,0,8,8,9.354415479028334e-11,0.000038780006355263326,
0,0,9,9,7.483657232069793e-10,0.00013975304327773182,
0,0,10,10,9.35531919513738e-11,0.00003878200889234218,
0,0,11,11,1.87096053012174e-10,0.00005683002074441612,
0,0,12,12,1.8709227147680674e-9,0.00023268307991169916,
0,0,13,13,9.354801250615574e-11,0.000038781009641099287,
0,0,14,14,2.8063952668250633e-10,0.00008024401722056613,
0,0,15,15,9.355185022188272e-11,0.00003878200894940816,
0,0,16,16,9.356679205178764e-11,0.000038785021790817566,
0,0,17,17,2.8068658482420776e-10,0.00008025200748614345,
0,0,18,18,4.678180011928082e-10,0.0001109820163602926,
0,0,19,19,4.677954374314547e-10,0.00011098101582797005,
0,0,20,20,4.677850692584876e-10,0.00011097901577042154,
0,0,21,21,4.677954364441981e-10,0.00011098101580582913,
0,0,22,22,9.355702441084271e-11,0.00003878300691069779,
0,0,23,23,9.355702466717811e-11,0.0000387830069675034,
0,0,24,24,9.35525097149255e-11,0.00003878200636876719,
0,0,25,25,9.355702415419467e-11,0.00003878300685381658,
0,0,26,26,9.35511716779069e-11,0.00003878200758504911,
0,0,27,27,9.35660490717428e-11,0.000038785006946068844,
0,0,28,28,9.355702441084272e-11,0.000038783007021533655,
0,0,29,29,9.355318020784932e-11,0.000038782006447566665,
0,0,30,30,9.355702441084271e-11,0.000038783007021533655,
0,0,31,31,9.356220511240344e-11,0.000038784006426183235,
0,0,32,32,9.356153961943071e-11,0.000038784007677052834,
0,0,33,33,9.356153961943071e-11,0.000038784007677052834,
0,0,34,34,9.355183322207175e-11,0.00003878200522881785,
0,0,35,35,9.35660490717428e-11,0.00003878500705689842,
0,0,36,36,9.356220015031007e-11,0.00003878400520730117,
0,0,37,37,9.357122401702762e-11,0.00003878600564755269,
0,0,38,38,1.8711269950293297e-10,0.000059518008755770504,
0,0,39,39,9.357505047650975e-11,0.0000387870023938918,
0,0,40,40,0.0015733368666980831,1.8831526879902305,
