latitude,longitude,OBJECTID,canteirodivisorio,geometriaaproximada,nome,nomeabrev,nrfaixas,operacional,revestimento,situacaofisica,trafego,geom_Length,st_length(shape),
0,0,66,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015237069381017969,
0,0,67,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.00151987449003982,
0,0,68,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014744075556023361,
0,0,69,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014574553940258632,
0,0,70,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014930325751633185,
0,0,71,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013145702620525328,
0,0,72,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0012844671446319575,
0,0,73,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001313327519234653,
0,0,74,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001607752169312072,
0,0,75,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017747614676065983,
0,0,76,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002237333042329623,
0,0,77,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017926280070000547,
0,0,78,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013167324152677973,
0,0,79,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001295342100230429,
0,0,80,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014065374719655287,
0,0,81,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016442222212792754,
0,0,82,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017178007351374117,
0,0,83,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016176693587428646,
0,0,84,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001613160525533298,
0,0,85,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015957483781889787,
0,0,86,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017420589391563943,
0,0,87,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017366596413216906,
0,0,88,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001776775213653479,
0,0,89,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001659938668190175,
0,0,90,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001632768775112467,
0,0,91,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016927695582489401,
0,0,92,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001669386102804729,
0,0,93,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015233712330031323,
0,0,94,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014990496553092762,
0,0,95,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.00280777678170082,
0,0,96,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002621852286822692,
0,0,97,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001581112591943899,
0,0,98,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001576284595166218,
0,0,99,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0018464093211437436,
0,0,100,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015370500350351543,
0,0,101,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017134688858112777,
0,0,102,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017126280113081596,
0,0,103,Não,Não,,,2,Sim,Revestimento primário,Construída,Permanente,null,0.004640196202696864,
0,0,104,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002606323042309314,
0,0,105,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001669420402613424,
